Species_Code,Common_Name,ML_Catalog_Number,Rating,Num_Raters,Vocalization_Type,Month,Year,Recordist,Selection_Reason
GCFL,Great Crested Flycatcher,347203291,5.00,3,unknown,6,2021,LynnErla Beegle,Best overall (unknown)
GCFL,Great Crested Flycatcher,56846051,5.00,2,call,5,2017,Martin Wall,Only call
GCFL,Great Crested Flycatcher,331708541,4.50,2,song,4,2021,Kent Fiala,Only song
GCFL,Great Crested Flycatcher,621939751,3.00,1,dawn song,6,2024,Alex Trifunovic,Only dawn song
GCFL,Great Crested Flycatcher,340209621,3.00,1,vocalization,5,2021,Martin Wall,Only vocalization
GCFL,Great Crested Flycatcher,618054779,5.00,2,unknown,4,2024,Morgan Reisinger,High quality unknown
GCFL,Great Crested Flycatcher,609272677,5.00,2,unknown,9,2023,Katherine Thorington,High quality unknown
GCFL,Great Crested Flycatcher,340827581,5.00,2,unknown,5,2021,stephen pattee,High quality unknown
GCFL,Great Crested Flycatcher,334688101,5.00,2,unknown,5,2021,stephen pattee,High quality unknown
GCFL,Great Crested Flycatcher,331925121,5.00,2,unknown,4,2021,Jeremy Wrenn,High quality unknown
EAPH,Eastern Phoebe,145316711,4.25,4,unknown,3,2019,Guy McGrane,Best overall (unknown)
EAPH,Eastern Phoebe,127082111,4.25,4,song,12,2018,LynnErla Beegle,High quality song
EAPH,Eastern Phoebe,538791051,4.67,3,chip note,2,2023,Guy McGrane,Only chip note
EAPH,Eastern Phoebe,166287431,4.00,3,call,6,2019,Paula Caycedo,Only call
EAPH,Eastern Phoebe,94418791,3.67,3,flight call/song,4,2018,Seth Buddy,Only flight call/song
EAPH,Eastern Phoebe,179739731,4.00,4,unknown,9,2019,LynnErla Beegle,High quality unknown
EAPH,Eastern Phoebe,627398738,5.00,2,unknown,12,2024,sheryl mcnair,High quality unknown
EAPH,Eastern Phoebe,624146790,5.00,2,unknown,9,2024,Mark Montazer,High quality unknown
EAPH,Eastern Phoebe,380623271,5.00,2,unknown,10,2021,Laura Mae,High quality unknown
EAPH,Eastern Phoebe,610326681,5.00,2,song,10,2023,Greg Hudson,High quality song
EWPE,Eastern Wood-Pewee,174712141,4.67,3,call,6,2019,Trevor Sleight,Best overall (call)
EWPE,Eastern Wood-Pewee,622228366,5.00,2,unknown,8,2024,Randy Yuen,High quality unknown
EWPE,Eastern Wood-Pewee,63294891,4.33,3,song,7,2017,Christine Stoughton Root,Only song
EWPE,Eastern Wood-Pewee,26777,3.00,5,dawn song,6,1979,Margery R. Plymire,Only dawn song
EWPE,Eastern Wood-Pewee,621907005,5.00,2,unknown,7,2024,Robert Russo,High quality unknown
EWPE,Eastern Wood-Pewee,265372891,5.00,2,unknown,9,2020,Kent Fiala,High quality unknown
EWPE,Eastern Wood-Pewee,230869461,5.00,2,unknown,5,2020,Steven Howell,High quality unknown
EWPE,Eastern Wood-Pewee,622238449,4.50,2,unknown,7,2024,Joe Poston,High quality unknown
EWPE,Eastern Wood-Pewee,618927330,4.50,2,unknown,5,2024,Alex Fuller,High quality unknown
EWPE,Eastern Wood-Pewee,605727371,4.50,2,unknown,8,2023,stephen pattee,High quality unknown
ACFL,Acadian Flycatcher,242760321,4.67,3,unknown,6,2020,Chip Davis,Best overall (unknown)
ACFL,Acadian Flycatcher,583128881,5.00,2,song,6,2023,Seth Buddy,High quality song
ACFL,Acadian Flycatcher,344023401,4.50,2,call,5,2021,Kent Fiala,Only call
ACFL,Acadian Flycatcher,236062301,3.00,1,dawn song,5,2020,Guy McGrane,Only dawn song
ACFL,Acadian Flycatcher,99256771,5.00,2,song,5,2018,Marilyn Westphal,High quality song
ACFL,Acadian Flycatcher,250096811,4.50,2,unknown,7,2020,Seth Buddy,High quality unknown
ACFL,Acadian Flycatcher,247644011,4.50,2,unknown,7,2007,Arch  McCallum,High quality unknown
ACFL,Acadian Flycatcher,243724151,4.50,2,unknown,5,2014,Rob Bierregaard,High quality unknown
ACFL,Acadian Flycatcher,496311911,4.50,2,song,9,2022,Sam Zhang,High quality song
ACFL,Acadian Flycatcher,340946831,4.50,2,song,5,2021,Kent Fiala,High quality song
WEVI,White-eyed Vireo,323221791,4.00,4,song,4,2021,Kent Fiala,Best overall (song)
WEVI,White-eyed Vireo,562213521,5.00,2,unknown,4,2023,Jacob Clark,High quality unknown
WEVI,White-eyed Vireo,643960189,4.00,1,call,6,2025,Joshua Emm,Only call
WEVI,White-eyed Vireo,562213541,5.00,2,unknown,4,2023,Jacob Clark,High quality unknown
WEVI,White-eyed Vireo,556896261,5.00,2,song,4,2023,Kent Fiala,High quality song
WEVI,White-eyed Vireo,156221491,5.00,2,song,5,2019,Kate Johnson,High quality song
WEVI,White-eyed Vireo (White-eyed),11683,3.40,5,song,4,1963,Robert C. Stein,High quality song
WEVI,White-eyed Vireo,92756601,4.00,3,song,4,2018,Martina Nordstrand,High quality song
WEVI,White-eyed Vireo,639340828,4.50,2,unknown,7,2025,Ralph Erickson,High quality unknown
WEVI,White-eyed Vireo,631915192,4.50,2,unknown,3,2025,Caleb Bronsink,High quality unknown
BGGN,Blue-gray Gnatcatcher (Eastern),617066587,5.00,2,call,4,2024,Greg Hudson,Best overall (call)
BGGN,Blue-gray Gnatcatcher,620302935,5.00,2,unknown,5,2024,Eric Cormier,High quality unknown
BGGN,Blue-gray Gnatcatcher,101674201,4.00,3,song,5,2018,Christine Stoughton Root,Only song
BGGN,Blue-gray Gnatcatcher,58734961,4.00,3,vocalization,4,2017,Martin Wall,Only vocalization
BGGN,Blue-gray Gnatcatcher,283257311,5.00,2,unknown,11,2020,Steven Howell,High quality unknown
BGGN,Blue-gray Gnatcatcher,554005251,4.00,3,call,3,2023,Michelle Martin,High quality call
BGGN,Blue-gray Gnatcatcher,247417991,4.00,3,call,7,2020,Art Webster,High quality call
