ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Caption,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
645650736,Audio,Great Crested Flycatcher,Myiarchus crinitus,,,Robert Russo,5/16/25,2025,5,16,2000,United States,US-NC-047,North Carolina,Columbus,Lake Waccamaw,34.3005719,-78.5634191,,,Unspecified,FALSE,FALSE,,,,,,,S285587295,,,,,,Myiarchus crinitus,grcfly,Species,17334,,0,0,,,
645648823,Audio,Great Crested Flycatcher,Myiarchus crinitus,,,Robert Russo,5/31/25,2025,5,31,1000,United States,US-NC-013,North Carolina,Beaufort,Goose Creek SP,35.4710859,-76.9103909,,,Unspecified,FALSE,FALSE,,,,,,,S285579405,,,,,,Myiarchus crinitus,grcfly,Species,17334,,0,0,,,
639661291,Audio,Great Crested Flycatcher,Myiarchus crinitus,,,Ralph Erickson,7/29/25,2025,7,29,630,United States,US-NC-143,North Carolina,Perquimans,Perquimans County Community Center,36.170507,-76.445909,,,Unspecified,FALSE,FALSE,,,,,,,S263856522,,,,,,Myiarchus crinitus,grcfly,Species,17334,,0,0,,,
639660271,Audio,Great Crested Flycatcher,Myiarchus crinitus,,,Ralph Erickson,7/31/25,2025,7,31,658,United States,US-NC-041,North Carolina,Chowan,Woodard Road,36.0223911,-76.4751186,,,Unspecified,FALSE,FALSE,,,,,,,S264044579,,,,,,Myiarchus crinitus,grcfly,Species,17334,,0,0,,,
638804027,Audio,Great Crested Flycatcher,Myiarchus crinitus,,,Jeff Lewis,6/19/25,2025,6,19,654,United States,US-NC-189,North Carolina,Watauga,Moses H. Cone Memorial Park--Rich Mountain Rd.,36.1518997,-81.7053759,,,Unspecified,FALSE,FALSE,,,,,,,S252022347,,,,,,Myiarchus crinitus,grcfly,Species,17334,,1,1,,,
638449056,Audio,Great Crested Flycatcher,Myiarchus crinitus,,,Ralph Erickson,7/4/25,2025,7,4,625,United States,US-NC-151,North Carolina,Randolph,Center Cross Baptist Church,35.5201349,-79.8312742,,,Unspecified,FALSE,FALSE,,,,,,,S256816741,,,,,,Myiarchus crinitus,grcfly,Species,17334,,0,0,,,
638363644,Audio,Great Crested Flycatcher,Myiarchus crinitus,Poecile carolinensis -- Carolina Chickadee,,Karen Lebing,7/2/25,2025,7,2,653,United States,US-NC-055,North Carolina,Dare,Alligator River NWR--Creef Cut Wildlife Trail,35.8637577,-75.8607094,Adult – 1,Call,Unspecified,,,,,iPhone,,,,S256170134,,,,,,Myiarchus crinitus,grcfly,Species,17334,,0,0,,,
638330553,Audio,Great Crested Flycatcher,Myiarchus crinitus,,,Ralph Erickson,7/1/25,2025,7,1,911,United States,US-NC-181,North Carolina,Vance,Fox Pond Park,36.318334,-78.369954,,,Unspecified,FALSE,FALSE,,,,,,,S255992113,,,,,,Myiarchus crinitus,grcfly,Species,17334,,0,0,,,
637619629,Audio,Great Crested Flycatcher,Myiarchus crinitus,Vireo olivaceus -- Red-eyed Vireo,,Teresa Noel,6/14/25,2025,6,14,1405,United States,US-NC-135,North Carolina,Orange,Cane Creek Reservoir (Restricted Access),35.9493948,-79.2423098,,,Not Used,,,,,Google Pix 6 with Merlin,,,,S250413707,,,,,,Myiarchus crinitus,grcfly,Species,17334,,0,0,,,
637619155,Audio,Great Crested Flycatcher,Myiarchus crinitus,Vireo olivaceus -- Red-eyed Vireo,,Teresa Noel,6/14/25,2025,6,14,1405,United States,US-NC-135,North Carolina,Orange,Cane Creek Reservoir (Restricted Access),35.9493948,-79.2423098,,,Not Used,,,,,Google Pix 6 with Merlin,,,,S250413707,,,,,,Myiarchus crinitus,grcfly,Species,17334,,0,0,,,
637412508,Audio,Great Crested Flycatcher,Myiarchus crinitus,Baeolophus bicolor -- Tufted Titmouse,,A H,4/18/25,2025,4,18,848,United States,US-NC-135,North Carolina,Orange,Brumley Nature Preserve--South,36.031475,-79.05894,,,Unspecified,FALSE,FALSE,,,,,,,S249208491,,,,,,Myiarchus crinitus,grcfly,Species,17334,,3,1,,,
636939462,Audio,Great Crested Flycatcher,Myiarchus crinitus,,,david pennebaker,5/31/25,2025,5,31,700,United States,US-NC-063,North Carolina,Durham,Quail Roost,36.195636,-78.9064629,,,Unspecified,FALSE,FALSE,,,,,,,S245108587,,,,,,Myiarchus crinitus,grcfly,Species,17334,,0,0,,,
636689002,Audio,Great Crested Flycatcher,Myiarchus crinitus,,,Ralph Erickson,5/28/25,2025,5,28,1326,United States,US-NC-077,North Carolina,Granville,Butner Game Land--Brickhouse Rd. (Granville Co.),36.1078356,-78.8036483,,,Unspecified,FALSE,FALSE,,,,,,,S243959187,,,,,,Myiarchus crinitus,grcfly,Species,17334,,0,0,,,
636492935,Audio,Great Crested Flycatcher,Myiarchus crinitus,,,Ralph Erickson,5/23/25,2025,5,23,1333,United States,US-NC-049,North Carolina,Craven,Maple Cypress Boat Ramp,35.313567,-77.302906,,,Unspecified,FALSE,FALSE,,,,,,,S241718938,,,,,,Myiarchus crinitus,grcfly,Species,17334,,0,0,,,
636490921,Audio,Great Crested Flycatcher,Myiarchus crinitus,,,Ralph Erickson,5/24/25,2025,5,24,748,United States,US-NC-191,North Carolina,Wayne,Cliffs of the Neuse SP,35.235636,-77.890952,,,Unspecified,FALSE,FALSE,,,,,,,S242160627,,,,,,Myiarchus crinitus,grcfly,Species,17334,,0,0,,,
636260072,Audio,Great Crested Flycatcher,Myiarchus crinitus,,,Betty Thomas,5/21/25,2025,5,21,1936,United States,US-NC-119,North Carolina,Mecklenburg,Freedom Park,35.1893821,-80.8450413,,,Unspecified,FALSE,FALSE,,,,,,,S241070935,,,,,,Myiarchus crinitus,grcfly,Species,17334,,0,0,,,
636252772,Audio,Great Crested Flycatcher,Myiarchus crinitus,,,Ralph Erickson,5/20/25,2025,5,20,630,United States,US-NC-055,North Carolina,Dare,Bodie Island Lighthouse & Pond,35.819076,-75.562966,,,Unspecified,FALSE,FALSE,,,,,,,S240744194,,,,,,Myiarchus crinitus,grcfly,Species,17334,,0,0,,,
636162240,Audio,Great Crested Flycatcher,Myiarchus crinitus,,,Kent Fiala,5/20/25,2025,5,20,822,United States,US-NC-135,North Carolina,Orange,Borland Road (Home),36.0044975,-79.1378184,Male – 1,Call,Not Used,,,,,Samsung Galaxy S25+,,,,S240540865,,,,,,Myiarchus crinitus,grcfly,Species,17334,,4.5,2,,,
635936046,Audio,Great Crested Flycatcher,Myiarchus crinitus,,,Martin Wall,5/12/25,2025,5,12,457,United States,US-NC-133,North Carolina,Onslow,"Kellum SE - 28546, Jacksonville US-NC (34.7796,-77.3001)",34.779621,-77.300124,Adult Male – 1,Song,Not Used,,,,,iPhone 15,,,,S236928709,,,,,2 S,Myiarchus crinitus,grcfly,Species,17334,,0,0,,,
635896807,Audio,Great Crested Flycatcher,Myiarchus crinitus,,,Ralph Erickson,5/16/25,2025,5,16,722,United States,US-NC-127,North Carolina,Nash,Stoney Creek Enviro Park new parcel,35.9732389,-77.9801301,,,Unspecified,FALSE,FALSE,,,,,,,S238700734,,,,,,Myiarchus crinitus,grcfly,Species,17334,,0,0,,,
635819629,Audio,Great Crested Flycatcher,Myiarchus crinitus,,,Betty Thomas,5/15/25,2025,5,15,909,United States,US-NC-119,North Carolina,Mecklenburg,Freedom Park,35.1893821,-80.8450413,,,Unspecified,FALSE,FALSE,,,,,,,S238125787,,,,,,Myiarchus crinitus,grcfly,Species,17334,,0,0,,,
635769005,Audio,Great Crested Flycatcher,Myiarchus crinitus,,,Virginia Palumbo,5/8/25,2025,5,8,1506,United States,US-NC-135,North Carolina,Orange,Cedar Falls Park,35.9576122,-79.0331442,,,Unspecified,FALSE,FALSE,,,,,,,S234813792,,,,,,Myiarchus crinitus,grcfly,Species,17334,,0,0,,,
635747892,Audio,Great Crested Flycatcher,Myiarchus crinitus,,,Ralph Erickson,5/13/25,2025,5,13,1003,United States,US-NC-007,North Carolina,Anson,Pee Dee NWR--Wildlife Dr.,35.0604491,-80.0897528,,,Unspecified,FALSE,FALSE,,,,,,,S237523743,,,,,,Myiarchus crinitus,grcfly,Species,17334,,0,0,,,
635381840,Audio,Great Crested Flycatcher,Myiarchus crinitus,,,Ralph Erickson,5/9/25,2025,5,9,1015,United States,US-NC-111,North Carolina,McDowell,Lake James SP--Catawba River Area,35.7312852,-81.9030398,,,Unspecified,FALSE,FALSE,,,,,,,S235150190,,,,,,Myiarchus crinitus,grcfly,Species,17334,,0,0,,,
635301802,Audio,Great Crested Flycatcher,Myiarchus crinitus,,,Mackenzie Hall,5/4/25,2025,5,4,853,United States,US-NC-047,North Carolina,Columbus,Lake Waccamaw SP,34.2904101,-78.5098457,,,Unspecified,FALSE,FALSE,,,,,,,S233006982,,,,,,Myiarchus crinitus,grcfly,Species,17334,,2,1,,,
635164540,Audio,Great Crested Flycatcher,Myiarchus crinitus,,,Mark Montazer,5/6/25,2025,5,6,550,United States,US-NC-037,North Carolina,Chatham,SDR North & Beaver Pond (Private),35.7543493,-79.2078762,,,Unspecified,FALSE,FALSE,,,,,,,S233767875,,,,,I don't believe I've ever heard this exact vocalization before.,Myiarchus crinitus,grcfly,Species,17334,,3,1,,,
635138753,Audio,Great Crested Flycatcher,Myiarchus crinitus,Spizella passerina -- Chipping Sparrow,,Ava Kornfeld,5/5/25,2025,5,5,930,United States,US-NC-007,North Carolina,Anson,Pee Dee NWR--Wildlife Dr.,35.0604491,-80.0897528,,,Unspecified,FALSE,FALSE,,,,,,,S233512215,,,,,,Myiarchus crinitus,grcfly,Species,17334,,0,0,,,
635094251,Audio,Great Crested Flycatcher,Myiarchus crinitus,,,Paul Beerman,5/3/25,2025,5,3,612,United States,US-NC-067,North Carolina,Forsyth,Historic Bethabara Park--Lower Trails,36.1553406,-80.2995872,,,Unspecified,FALSE,FALSE,,,,,,,S232384229,,,,,,Myiarchus crinitus,grcfly,Species,17334,,0,0,,,
634711553,Audio,Great Crested Flycatcher,Myiarchus crinitus,,,Ralph Erickson,4/28/25,2025,4,28,705,United States,US-NC-197,North Carolina,Yadkin,4454 Shoals Road,36.2574175,-80.5171251,,,Unspecified,FALSE,FALSE,,,,,,,S230565527,,,,,,Myiarchus crinitus,grcfly,Species,17334,,0,0,,,
634526143,Audio,Great Crested Flycatcher,Myiarchus crinitus,Cyanocitta cristata -- Blue Jay,,John Koon,9/15/20,2020,9,15,857,United States,US-NC-021,North Carolina,Buncombe,Pearson Drive,35.6045911,-82.5687146,,Call,Unspecified,,,,,,,,,S73631769,,,,,,Myiarchus crinitus,grcfly,Species,17334,,3,1,,,
634288979,Audio,Great Crested Flycatcher,Myiarchus crinitus,,,Chuck Gehringer,4/22/25,2025,4,22,704,United States,US-NC-125,North Carolina,Moore,Bethesda’s road atlas block Southern pines SE,35.161801,-79.375336,,,Unspecified,FALSE,FALSE,,,,,,,S228172356,,,,,,Myiarchus crinitus,grcfly,Species,17334,,0,0,,,
633564147,Audio,Great Crested Flycatcher,Myiarchus crinitus,,,Ralph Erickson,4/11/25,2025,4,11,1302,United States,US-NC-103,North Carolina,Jones,Catfish Lake Road,34.881046,-77.169123,,,Unspecified,FALSE,FALSE,,,,,,,S224679953,,,,,,Myiarchus crinitus,grcfly,Species,17334,,0,0,,,
633494636,Audio,Great Crested Flycatcher,Myiarchus crinitus,,,Scott Walker,4/10/25,2025,4,10,1006,United States,US-NC-019,North Carolina,Brunswick,"11–99 Maritime Way, Bald Head Island US-NC",33.858487,-77.982682,,,Unspecified,FALSE,FALSE,,,,,,,S224313881,,,,,,Myiarchus crinitus,grcfly,Species,17334,,1,1,,,
633418618,Audio,Great Crested Flycatcher,Myiarchus crinitus,,,Steve Taylor,4/8/25,2025,4,8,1545,United States,US-NC-147,North Carolina,Pitt,Grimesland Ponds,35.5823568,-77.1699858,,,Unspecified,FALSE,FALSE,,,,,,,S223951138,,,,,"That's what Merlin Sound ID said.  I'm attaching the sound file, cleaned up in Audacity, and will leave it to better birders than me to argue with Merlin Sound ID!  Just let me know how I should correct it.",Myiarchus crinitus,grcfly,Species,17334,,5,1,,,
633405865,Audio,Great Crested Flycatcher,Myiarchus crinitus,,,William Warfel,4/8/25,2025,4,8,1117,United States,US-NC-051,North Carolina,Cumberland,"8839 Gip Road, Fayetteville, North Carolina, US (34.905, -78.664)",34.9053084,-78.6640791,,,Unspecified,FALSE,FALSE,,,,,,,S223896348,,,,,"Calling with his persistent ""wheep, wheep, wheep"" call.",Myiarchus crinitus,grcfly,Species,17334,,4,1,,,
