ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Caption,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
648595000,Audio,Eastern Phoebe,Sayornis phoebe,,,Bryan Sharp,12/16/25,2025,12,16,1325,United States,US-NC-159,North Carolina,Rowan,"Unnamed Road, Gold Hill, North Carolina, US (35,503, -80,297)",35.502963,-80.2971565,,,Unspecified,FALSE,FALSE,,,,,,,S288870498,,,,,,Sayornis phoebe,easpho,Species,17007,,0,0,,,
648135326,Audio,Eastern Phoebe,Sayornis phoebe,Catharus guttatus -- Hermit Thrush; Corthylio calendula -- Ruby-crowned Kinglet; Corvus brachyrhynchos -- American Crow; Setophaga pinus -- Pine Warbler; Regulus satrapa -- Golden-crowned Kinglet,,Joshua Emm,11/5/24,2024,11,5,831,United States,US-NC-017,North Carolina,Bladen,"Garland SE—Helltown Rd, Garland US-NC (34.7808,-78.4355)",34.780751,-78.435504,,Song,Not Used,,,,,iPhone 13 Pro Max,,,,S201511200,,,,,,Sayornis phoebe,easpho,Species,17007,,0,0,,,
645546038,Audio,Eastern Phoebe,Sayornis phoebe,,,Kate Koberle,11/20/25,2025,11,20,919,United States,US-NC-021,North Carolina,Buncombe,River Ridge Apartments,35.572489,-82.506091,,,Unspecified,FALSE,FALSE,,,,,,,S285307289,,,,,"2 in same area, one further off. All very vocal",Sayornis phoebe,easpho,Species,17007,,0,0,,,
645546037,Audio,Eastern Phoebe,Sayornis phoebe,,,Kate Koberle,11/20/25,2025,11,20,919,United States,US-NC-021,North Carolina,Buncombe,River Ridge Apartments,35.572489,-82.506091,,,Unspecified,FALSE,FALSE,,,,,,,S285307289,,,,,"2 in same area, one further off. All very vocal",Sayornis phoebe,easpho,Species,17007,,0,0,,,
644327763,Audio,Eastern Phoebe,Sayornis phoebe,Catharus guttatus -- Hermit Thrush; Corvus brachyrhynchos -- American Crow; Corthylio calendula -- Ruby-crowned Kinglet; Baeolophus bicolor -- Tufted Titmouse; Melospiza georgiana -- Swamp Sparrow; Setophaga coronata coronata -- Yellow-rumped Warbler (Myrtle),,Joshua Emm,12/17/24,2024,12,17,803,United States,US-NC-141,North Carolina,Pender,"Harrells SE—Indian Hill Rd, Ivanhoe US-NC (34.6277,-78.1364)",34.627678,-78.13638,Adult Male – 1,Song,Not Used,,,,,iPhone 13 Pro Max,,,,S205765961,,,,,,Sayornis phoebe,easpho,Species,17007,,0,0,,,
643715508,Audio,Eastern Phoebe,Sayornis phoebe,,,Jack Ryan,10/16/25,2025,10,16,0,United States,US-NC-119,North Carolina,Mecklenburg,Yard and Neighborhood,35.0964594,-80.757447,,,Unspecified,FALSE,FALSE,,,,,,,S280168837,,,,,,Sayornis phoebe,easpho,Species,17007,,0,0,,,
643347029,Audio,Eastern Phoebe,Sayornis phoebe,,,Mel Barnes,10/9/25,2025,10,9,927,United States,US-NC-087,North Carolina,Haywood,Home,35.5314903,-82.9094543,,,Not Used,,,,,,,,,S278155810,,,,,,Sayornis phoebe,easpho,Species,17007,,0,0,,,
641731706,Audio,Eastern Phoebe,Sayornis phoebe,,,Bryan Sharp,6/15/25,2025,6,15,728,United States,US-NC-199,North Carolina,Yancey,"Burnsville, Carolina do Norte, US (35,764, -82,194)",35.7640864,-82.1943258,,,Unspecified,FALSE,FALSE,,,,,,,S250542836,,,,,,Sayornis phoebe,easpho,Species,17007,,3,1,,,
641631561,Audio,Eastern Phoebe,Sayornis phoebe,,,sheryl mcnair,9/8/25,2025,9,8,730,United States,US-NC-189,North Carolina,Watauga,"15 Flannery Fork Rd, Blowing Rock US-NC 36.17013, -81.68619",36.170128,-81.686188,,,Unspecified,FALSE,FALSE,,,,,,,S272204671,,,,,,Sayornis phoebe,easpho,Species,17007,,2,1,,,
641347507,Audio,Eastern Phoebe,Sayornis phoebe,,,sheryl mcnair,9/2/25,2025,9,2,1134,United States,US-NC-189,North Carolina,Watauga,"15 Flannery Fork Rd, Blowing Rock US-NC 36.17013, -81.68619",36.170128,-81.686188,,,Unspecified,FALSE,FALSE,,,,,,,S271139558,,,,,,Sayornis phoebe,easpho,Species,17007,,1,1,,,
641321019,Audio,Eastern Phoebe,Sayornis phoebe,,,LynnErla Beegle,9/3/25,2025,9,3,751,United States,US-NC-183,North Carolina,Wake,Lake Lynn,35.8820127,-78.7001324,Unknown – 2,Duet; Song,Not Used,,,,,PowerShot SX620 HS,,,,S271240961,,,,"Two EAPH duetting, or competing, or conversing. Recorded at 7:51",,Sayornis phoebe,easpho,Species,17007,,3,1,,,
639335406,Audio,Eastern Phoebe,Sayornis phoebe,,,sheryl mcnair,7/18/25,2025,7,18,1019,United States,US-NC-189,North Carolina,Watauga,"15 Flannery Fork Rd, Blowing Rock US-NC 36.17013, -81.68619",36.170128,-81.686188,,,Unspecified,FALSE,FALSE,,,,,,,S260866102,,,,,Immature,Sayornis phoebe,easpho,Species,17007,,3,1,,,
637658304,Audio,Eastern Phoebe,Sayornis phoebe,Corvus brachyrhynchos -- American Crow; Thryothorus ludovicianus -- Carolina Wren; Cardinalis cardinalis -- Northern Cardinal; Setophaga dominica -- Yellow-throated Warbler; Zenaida macroura -- Mourning Dove; Protonotaria citrea -- Prothonotary Warbler,,Martin Wall,6/11/25,2025,6,11,521,United States,US-NC-051,North Carolina,Cumberland,"Wade SE - 4600–4618 Lonnie Matthews Rd, Wade US-NC (35.1266,-78.6453)",35.126628,-78.645268,,Song,Not Used,,,,,iPhone 15,,,,S249263621,,,,,,Sayornis phoebe,easpho,Species,17007,,0,0,,,
636493615,Audio,Eastern Phoebe,Sayornis phoebe,,,Ralph Erickson,5/23/25,2025,5,23,1025,United States,US-NC-079,North Carolina,Greene,Scout Park,35.4564468,-77.6704726,,,Unspecified,FALSE,FALSE,,,,,,,S241717376,,,,,,Sayornis phoebe,easpho,Species,17007,,4,1,,,
636493526,Audio,Eastern Phoebe,Sayornis phoebe,,,Ralph Erickson,5/23/25,2025,5,23,1025,United States,US-NC-079,North Carolina,Greene,Scout Park,35.4564468,-77.6704726,,,Unspecified,FALSE,FALSE,,,,,,,S241717376,,,,,,Sayornis phoebe,easpho,Species,17007,,0,0,,,
